Date,Total Hours,Dual Received,Pilot in Command,Day,Night,Cross-Country,Instrument,Day Landings,Night Landings
6/1/2021,2.3,2.3,0,2.3,0,0,0,7,0
6/2/2021,2.5,2.5,0,2.5,0,0,0,10,0
6/3/2021,2.2,2.2,0,2.2,0,0,0,8,0
6/4/2021,1,1,0,1,0,0,0,8,0
6/5/2021,0,0,0,0,0,0,0,0,0
6/6/2021,0,0,0,0,0,0,0,0,0
6/7/2021,2.5,2.5,0,2.5,0,0,0,11,0
6/8/2021,3.1,3.1,0,3.1,0,0,0,9,0
6/9/2021,1.3,1.3,0,1.3,0,0,0,7,0
6/10/2021,0,0,0,0,0,0,0,0,0
6/11/2021,0,0,0,0,0,0,0,0,0
6/12/2021,0,0,0,0,0,0,0,0,0
6/13/2021,0,0,0,0,0,0,0,0,0
6/14/2021,0,0,0,0,0,0,0,0,0
6/15/2021,0,0,0,0,0,0,0,0,0
6/16/2021,2,2,0,2,0,0,0,8,0
6/17/2021,0,0,0,0,0,0,0,0,0
6/18/2021,1.5,1.5,0,1.5,0,0,0,6,0
6/19/2021,0,0,0,0,0,0,0,0,0
6/20/2021,0,0,0,0,0,0,0,0,0
6/21/2021,2.6,2.6,0,2.6,0,0,0,8,0
6/22/2021,2.6,2.6,0,2.6,0,0,0,10,0
6/23/2021,0,0,0,0,0,0,0,0,0
6/24/2021,2.1,2.1,0,2.1,0,0,0,9,0
6/25/2021,2.8,2.8,0,2.8,0,0,0,12,0
6/26/2021,0,0,0,0,0,0,0,0,0
6/27/2021,0,0,0,0,0,0,0,0,0
6/28/2021,0,0,0,0,0,0,0,0,0
6/29/2021,0,0,0,0,0,0,0,0,0
6/30/2021,1.5,1.5,1.5,0,0,0,1,2,0
7/1/2021,2.4,0,2.4,2.4,0,2.4,0,3,0
7/2/2021,0,0,0,0,0,1.9,0,0,0
7/3/2021,0,0,0,0,0,0,0,0,0
7/4/2021,0,0,0,0,0,0,0,0,0
7/5/2021,1.9,0,1.9,1.9,0,0,0,3,0
7/6/2021,0,0,0,0,0,0,0,0,0
7/7/2021,0,0,0,0,0,0,0,0,0
7/8/2021,0,0,0,0,0,0,0,0,0
7/9/2021,2.6,2.6,0,2.6,0,0,0,8,0
7/10/2021,0,0,0,0,0,0,0,0,0
7/11/2021,0,0,0,0,0,0,0,0,0
7/12/2021,2.6,2.6,0,2.6,0,0,0,1,0
7/13/2021,0,0,0,0,0,0,0,0,0
7/14/2021,0,0,0,0,0,0,0,0,0
7/15/2021,0,0,0,0,0,0,0,0,0
7/16/2021,2.6,2.6,0,2.6,0,0,0,8,0
7/17/2021,0,0,0,0,0,0,0,0,0
7/18/2021,1.4,0,1.4,1.4,0,0,0,5,0
7/19/2021,0,0,0,0,0,0,0,0,0
7/20/2021,1.6,1.6,0,1.6,0,0,0,6,0
7/21/2021,0,0,0,0,0,0,0,0,0
7/22/2021,1.8,,0,1.8,0,0,0,6,0
7/23/2021,0,0,0,0,0,0,0,0,0
7/24/2021,2.5,2.5,0,2.5,0,0,0,12,0
7/25/2021,1.4,1.4,0,1.4,0,0,0,6,0
7/26/2021,1.8,1.8,0,1.8,0,0,0,7,0
7/27/2021,0,0,0,0,0,0,0,0,0
7/28/2021,0,0,0,0,0,0,0,0,0
7/29/2021,0,0,0,0,0,0,0,0,0
7/30/2021,1.7,1.7,0,1.7,0,0,0,10,0
7/31/2021,0,0,0,0,0,0,0,0,0
8/1/2021,1.4,1.4,0,1.4,0,0,0,8,0
8/2/2021,1.5,1.5,0,1.5,0,0,0,4,0
8/3/2021,4,4,4,2,2,4,3,0,2
8/4/2021,2.8,2.8,2.8,2.8,0,2.8,2.8,2,0
8/5/2021,1.4,1.4,1.4,1.4,0,0,1.4,1,0
8/6/2021,0,0,0,0,0,0,0,0,0
8/7/2021,0,0,0,0,0,0,0,0,0
8/8/2021,0,0,0,0,0,0,0,0,0
8/9/2021,5.5,5.5,5.5,3.5,2,5.5,4.3,3,1
8/10/2021,0,0,0,0,0,0,0,0,0